"branch_number";"branch_address";"telephone_number";"manager_id";"city_number";"street_name"
1;"10 Downing Street, London";"+44 7629 548109";3;1;"Downing Street"
2;"20 Oxford Street, Manchester";"+44 7502 891374";55;2;"Oxford Street"
3;"30 Cambridge Road, Birmingham";"+44 7408 953701";12;3;"Cambridge Road"
4;"40 Regent Street, Bristol";"+44 7783 299741";5;4;"Regent Street"
5;"50 Buchanan Street, Glasgow";"+44 7930 187596";1;5;"Buchanan Street"
6;"60 High Street, Liverpool";"+44 7837 684005";60;6;"High Street"
7;"70 Princes Street, Aberdeen";"+44 7796 432515";75;7;"Princes Street"
8;"80 Station Road, Leeds";"+44 7544 606932";8;8;"Station Road"
9;"90 Grey Street, Newcastle";"+44 7807 251449";0;9;"Grey Street"
10;"100 Nottingham Road, Nottingham";"+44 7870 478931";0;10;"Nottingham Road"
11;"152 Oxford St, Marylebone, London";"+44 7450 123456";83;1;"Oxford Street"
12;"42 Angel Square, Manchester";"+44 7712 345678";98;2;"Angel Square"
13;"142 Alfreton Road, Nottingham";"+44 7930 987654";100;10;"Alfreton Road"
14;"22 Penny Lane, Liverpool";"+44 7496 543210";85;6;"Penny Lane"
15;"123 Sauchiehall Street, Glasgow";"+44 7714 678905";99;5;"Sauchiehall Street"
16;"185-187 Regent St, Mayfair, London";"+44 7421 234567";92;1;"Regent Street"
17;"9 Unity Street, Bristol";"+44 7709 876543";0;4;"Unity Street"
18;"37 Seel Street, Liverpool";"+44 7985 432109";97;6;"Seel Street"
19;"65 Bond St, Mayfair, London";"+44 7444 567890";95;1;"Bond Street"
20;"34 Park Street, Bristol ";"+44 7865 098765";0;4;"Park Street"
